irmng,ott,name,synthesis
11613475,5048893,Homalocerus antennalis,
11613476,5048889,Homalocerus longirostris,
11522350,5048895,Homalocerus flavicornis,
11613477,5048890,Homalocerus nigripennis,
11654243,5048891,Homalocerus xixim,
11522352,5048892,Homalocerus plaumanni,
11613473,5048964,Stenobelus tibialis,
10163259,3416298,Lampetis fastuosa,
102843,3624238,Hypsidoridae,
10859277,5548789,Heterohyrax antineae,
11167068,3607455,Zalambdalestes lechei,synthesis
10880499,1014853,Platymantis mimula,synthesis
11704707,5544150,Olivioxantho denticulatus,
11495312,5039706,Bembidion kara,
11612940,5048849,Dicordylus binotatus,
11522023,5048851,Dicordylus serranus,
11522428,5049009,Sphinctobelus cinereus,
10531957,3607484,Protungulatum donnae,synthesis
10692824,3615030,Mesohippus bairdi,synthesis
11178319,5551851,Mogera etigo,
10235830,5551852,Mogera kobeae,
11102182,4942613,Basilosaurus cetoides,synthesis
10875686,5554020,Crocidura osorio,
10793056,3612942,Ommatophoca rossi,
11390044,3612969,Pagophilus groenlandica,synthesis
10230092,5554026,Procyon insularis,
10230093,5554025,Procyon maynardi,
10224228,5554035,Herpestes palustris,
10230099,5554036,Galerella swalius,
10718286,5839269,Pseudocetopsis plumbeus,
10754485,5839362,Brachyglanis frenata,
10450727,5839348,Acrochordonichthys melanogaster,
10788883,5839339,Akysis leucorhynchus,
10855147,5839344,Akysis baramensis,
10756851,239012,Lygosoma tenuis,synthesis
11078615,4124117,Egernia whitei,
11444785,3607796,Mesopropithecus pithecoides,
11078603,3607521,Megaladapis grandidieri,
11024850,3607522,Megaladapis madagascariensis,
10525092,3611650,Sivatherium giganteum,
11178306,5555496,Aonyx congicus,
11196248,3132885,Doritites bosniaskii,
11126388,4410571,Crosa yapensis,
10130853,4410004,Cerantichir enderleini,
11073168,5846105,Tatia creutzbergi,
11081142,4132137,Gobipteryx minuta,
10520170,3604082,Archaeopteryx lithographica,
10330201,3194324,Alypia edwardsii,
11371363,4396157,Conops cupreus,
10527330,5558870,Chamaeleolis chameleontides,
10747058,5558463,Leipopython albertisii,
11198987,3125467,Eurybia franciscana,
10269339,3133963,Delias aglaja,
11111285,458056,Heliconius quirina,synthesis
10110812,3473018,Calisius fuscus,
11399158,5559956,Phyrignathus lesuerii,
11444963,4120059,Epicrates anguilifer,
11204461,5560131,Todirhamphus ruficollaris,
11305410,5560130,Merops nubicoides,
10217580,5560100,Hylexetastes brigidai,
10465045,5560084,Myzomela chermesina,
11218986,5560082,Myzomela chloroptera,
10801699,5560083,Myzomela caledonica,
10592794,5560086,Myzomela wakoloensis,
10424823,5560085,Myzomela dammermani,
10217336,5560088,Lichmera limbata,
10213686,5560089,Philemon novaeguineae,
10716923,5560091,Pitta dohertyi,
11160620,5560092,Pitta arcuata,
11305070,5857268,Amphispiza quinquestriata,
10593433,5560059,Xolmis salinarum,
11416135,724188,Picus mineaceus,
11055240,5560018,Gecinulus viridis,
10209875,5560017,Dendrocopos nanus,
10525002,3600208,Piculus leucolalemus,synthesis
11036417,5560019,Piculus litae,
10877358,5857250,Ceratogymna brevis,
11270971,5857243,Aceros comatus,
11432462,5857246,Aceros subruficollis,
10597430,5857251,Tockus albocristatus,
11095027,5857252,Buceros vigil,
10990546,5857086,Heliactin cornuta,
11324273,5560026,Micropalma himantopus,
10522666,3600779,Trogon aurantiventris,synthesis
10205386,5559988,Loriculus tener,
10801449,5857210,Eupodotis afraoides,
10198007,5857203,Eupodotis afra,
11296368,5560110,Cacomantis heinrichi,synthesis
10425180,5560114,Chrysococcyx russatus,
11309804,5560111,Eudynamys cyanocephala,synthesis
10219010,5560112,Eudynamys melanorhyncha,synthesis
10692084,3600772,Tauraco livingstoni,synthesis
10958497,5560141,Batrachostomus affinis,
10218401,5560140,Batrachostomus mixtus,
11458858,4130836,Anthropornis nordenskjoeldi,
10552300,3600127,Pachydyptes ponderosus,
10051554,3600125,Archaeospheniscus lowei,
11377842,3600124,Archaeospheniscus lopdelli,
10717823,3600113,Platydyptes amiesi,
10539035,3607678,Homo habilis,
10269987,283895,Morpho hyacinthus,
10593601,5859859,Megapodius affinis,
10190829,5859860,Megapodius wallacei,
10205735,5859872,Anas oustaleti,
10851952,5859866,Cairina scutulata,
10680273,3595958,Cnemiornis calcitrans,
10588359,891420,Aegypius tracheliotus,synthesis
10219430,5561051,Serinus xanthopygius,
10217366,5561050,Serinus frontalis,
10217376,5561054,Serinus reichenowi,
